case_id,split,family_id,oracle_class,oracle_lag_frames,oracle_reason,generator_id,generator_version,seed,parameters_json,parameter_digest,baseline_sha256_float32_le,candidate_sha256_float32_le,pcm_pair_sha256,strata_json
calibration-uniform-noise-v1-00,calibration,uniform-noise-v1,unique,-64,Seeded broadband noise has one constructed integer correspondence.,uniform-noise-v1,1.0.0,11000,"{""baseline_sync_length_frames"":521,""baseline_sync_origin_frames"":0,""candidate_gain"":1.0,""candidate_sync_length_frames"":521,""candidate_sync_origin_frames"":0,""lag_frames"":-64,""length_frames"":521,""level_linear_fs"":0.8,""polarity"":1,""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""none""}",bdc1d5991aaaa5e412fe21635481d0591fe5ef9a804863154b7282ad8c598b21,1286d20bd8c12b1bb75746ff5610da3dfc236be957b0ade58e1cd6d60f09e229,aeda76b7db728206ace2a46130a4cfde3b5abaeebfdd26f3fbe451d052440e7a,98863095974109a3cea3c4cfd4869afb02ee59d9f6c2ba0e343303475d647c20,"{""duration"":""short"",""energy"":""active"",""lag_position"":""lower_boundary"",""level"":""nominal"",""noise"":""none"",""overlap"":""normal"",""polarity"":""normal"",""sync_origin"":""zero""}"
calibration-uniform-noise-v1-01,calibration,uniform-noise-v1,unique,-37,Seeded broadband noise has one constructed integer correspondence.,uniform-noise-v1,1.0.0,11001,"{""baseline_sync_length_frames"":756,""baseline_sync_origin_frames"":13,""candidate_gain"":1.0,""candidate_sync_length_frames"":764,""candidate_sync_origin_frames"":5,""lag_frames"":-37,""length_frames"":769,""level_linear_fs"":0.18,""polarity"":1,""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""none""}",6f42248026a81b3580a3b9512f3d7941cab2796f3db2d93d9ba0e73be1c264cd,f82deb3e766bf3617222c3e9362162f1196be3fed1f62486202b588128bfdb3e,d765e0bf0781b4bea24a48520e0b15481a8f858ad622eb7be259ba4808a71f12,d3e3e7b5503757f0df887c43bb335bafa86eeeb467dec661943a0b70fe628e94,"{""duration"":""medium"",""energy"":""active"",""lag_position"":""negative"",""level"":""nominal"",""noise"":""none"",""overlap"":""normal"",""polarity"":""normal"",""sync_origin"":""offset""}"
calibration-uniform-noise-v1-02,calibration,uniform-noise-v1,unique,0,Seeded broadband noise has one constructed integer correspondence.,uniform-noise-v1,1.0.0,11002,"{""baseline_sync_length_frames"":1024,""baseline_sync_origin_frames"":7,""candidate_gain"":1.0,""candidate_sync_length_frames"":1012,""candidate_sync_origin_frames"":19,""lag_frames"":0,""length_frames"":1031,""level_linear_fs"":0.8,""polarity"":1,""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""none""}",65cc89407b5340673d1b1f72b13f53242763ddb70238133f6975e824aa234dc2,ce718b6d787c4171e2993f61fd02da3a76fbdafa5bc79f0ab3f2ef88e797809f,ce718b6d787c4171e2993f61fd02da3a76fbdafa5bc79f0ab3f2ef88e797809f,fbf730e281db85e707ec285b36e7262f8953a4f613f4b53cd320a8cfac561ac5,"{""duration"":""long"",""energy"":""active"",""lag_position"":""zero"",""level"":""nominal"",""noise"":""none"",""overlap"":""normal"",""polarity"":""normal"",""sync_origin"":""offset""}"
calibration-uniform-noise-v1-03,calibration,uniform-noise-v1,unique,29,Seeded broadband noise has one constructed integer correspondence.,uniform-noise-v1,1.0.0,11003,"{""baseline_sync_length_frames"":521,""baseline_sync_origin_frames"":0,""candidate_gain"":1.0,""candidate_sync_length_frames"":521,""candidate_sync_origin_frames"":0,""lag_frames"":29,""length_frames"":521,""level_linear_fs"":0.18,""polarity"":1,""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""none""}",cc9f80f520331486b0772a502e322252ee6b5020f5c65ee40394549247f32358,5d4a8f59ea5e74058357640bbee293aba2d7b23c348f55979eced7e4bf6dc3a4,5367409e71e31eec3a5a1d407c86ee80dc46b5d5f640fe35b810fc201f9e6109,6a4e301b440caf8a13212acc018285cee7fc8ef871d2adad39aefd45ef269c41,"{""duration"":""short"",""energy"":""active"",""lag_position"":""positive"",""level"":""nominal"",""noise"":""none"",""overlap"":""normal"",""polarity"":""normal"",""sync_origin"":""zero""}"
calibration-uniform-noise-v1-04,calibration,uniform-noise-v1,unique,64,Seeded broadband noise has one constructed integer correspondence.,uniform-noise-v1,1.0.0,11004,"{""baseline_sync_length_frames"":756,""baseline_sync_origin_frames"":13,""candidate_gain"":1.0,""candidate_sync_length_frames"":764,""candidate_sync_origin_frames"":5,""lag_frames"":64,""length_frames"":769,""level_linear_fs"":0.8,""polarity"":1,""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""none""}",05e2519fe77938bd939ba414ecac50f69f63fc06a02ba370b773584208fe61f9,2c95f55a465275bfda62894194fd76dec1d57c430e233dd7ddda12a19c03f465,a060d915286c6ef0885ef6fbd6b24e2cb2d8c205e0ee7c0150a6beee3e1cc2f9,d1fe511bbdf37aa04efbdb0d6dd238e5ff6a7f601f9650f3442003b64aced631,"{""duration"":""medium"",""energy"":""active"",""lag_position"":""upper_boundary"",""level"":""nominal"",""noise"":""none"",""overlap"":""normal"",""polarity"":""normal"",""sync_origin"":""offset""}"
calibration-uniform-noise-v1-05,calibration,uniform-noise-v1,unique,29,Polarity changes score sign but not the constructed correspondence.,uniform-noise-v1,1.0.0,11005,"{""baseline_sync_length_frames"":1018,""baseline_sync_origin_frames"":13,""candidate_gain"":1.0,""candidate_sync_length_frames"":1026,""candidate_sync_origin_frames"":5,""lag_frames"":29,""length_frames"":1031,""level_linear_fs"":0.8,""polarity"":-1,""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""remove_dc""}",a64feb8d93da5c4c5b89495460f6984e75a01c7302ac5166bc81b2e0f12cf0ba,71c1b302bfe3c0cbe93d48e959856b2f1c7e86db49f7775e55db083ae634bc95,170ca083f1e7447fef39dcb5ea75e1d81b79b7c7b058d6a8f3495fbb4aa9c883,f3a7057e6d0fc3e56c4ac0caa09baf9cd1f857b30307b45368c55ae18ff2382e,"{""duration"":""long"",""energy"":""active"",""lag_position"":""positive"",""level"":""nominal"",""noise"":""none"",""overlap"":""normal"",""polarity"":""inverted"",""sync_origin"":""offset""}"
calibration-uniform-noise-v1-06,calibration,uniform-noise-v1,unique,-37,Positive level scaling preserves the unique broadband correspondence.,uniform-noise-v1,1.0.0,11006,"{""baseline_sync_length_frames"":762,""baseline_sync_origin_frames"":7,""candidate_gain"":0.4,""candidate_sync_length_frames"":750,""candidate_sync_origin_frames"":19,""lag_frames"":-37,""length_frames"":769,""level_linear_fs"":0.0008,""polarity"":1,""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":null,""sync_copy_transform"":""none""}",cb431afdfd9636f0030f7118235e4bb8011cc02348008162964961ef76d28229,421cef6b8380725ba258eb6c0fffc521061bc6c00b5262a0da44e7b8af8aef13,f76a9a8f6b1c5a258d5efaa63bd006cb5422b2059f823c165bba22b472ed6e30,13fe8dc338b8947db8afd083428eb7807a88806173588fdc9578fddfe2cb7ce2,"{""duration"":""medium"",""energy"":""active"",""lag_position"":""negative"",""level"":""very_low"",""noise"":""none"",""overlap"":""normal"",""polarity"":""normal"",""sync_origin"":""offset""}"
calibration-uniform-noise-v1-07,calibration,uniform-noise-v1,unique,29,Independent controlled noise perturbs but does not duplicate the constructed correspondence.,uniform-noise-v1,1.0.0,11007,"{""baseline_sync_length_frames"":769,""baseline_sync_origin_frames"":0,""candidate_gain"":1.0,""candidate_sync_length_frames"":769,""candidate_sync_origin_frames"":0,""lag_frames"":29,""length_frames"":769,""level_linear_fs"":0.18,""polarity"":1,""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":36.0,""sync_copy_transform"":""none""}",2f4ce390a9f930c37a54b3e1b483e570e864697c49e8b1ade3ec5ea992e2c4c3,b2f1b6a97ed4f9912c04996b9267a99b1f63b12839c0aece05804bbac217f0a9,953ec6199e2fc0cfbf6e7d29269c884b0cd796a658539676679e9a1c43bacc58,65555868f3ea563d1ddf5cd1e49428a77c7bf22d03cc93f9fb209301950627ba,"{""duration"":""medium"",""energy"":""active"",""lag_position"":""positive"",""level"":""nominal"",""noise"":""high_snr"",""overlap"":""normal"",""polarity"":""normal"",""sync_origin"":""zero""}"
calibration-uniform-noise-v1-08,calibration,uniform-noise-v1,unique,29,Independent controlled noise perturbs but does not duplicate the constructed correspondence.,uniform-noise-v1,1.0.0,11008,"{""baseline_sync_length_frames"":769,""baseline_sync_origin_frames"":0,""candidate_gain"":1.0,""candidate_sync_length_frames"":769,""candidate_sync_origin_frames"":0,""lag_frames"":29,""length_frames"":769,""level_linear_fs"":0.18,""polarity"":1,""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":18.0,""sync_copy_transform"":""none""}",fa4389c21cb75951363e41eb463f319f458a4644f3eb1216e89419c62c93de09,7c1d159da61111c4568bcea68d655a174a354287fe55af36bf72908fbc058ac9,0d056e37fc3ed2fba34b722bbde42876c7e2df90e7970cc199e594fdc788cbaf,7be0d097052589e34055e2dda44445d6e0a43aed09320d13b5cbd259c454c1f0,"{""duration"":""medium"",""energy"":""active"",""lag_position"":""positive"",""level"":""nominal"",""noise"":""medium_snr"",""overlap"":""normal"",""polarity"":""normal"",""sync_origin"":""zero""}"
calibration-uniform-noise-v1-09,calibration,uniform-noise-v1,unique,29,Independent controlled noise perturbs but does not duplicate the constructed correspondence.,uniform-noise-v1,1.0.0,11009,"{""baseline_sync_length_frames"":769,""baseline_sync_origin_frames"":0,""candidate_gain"":1.0,""candidate_sync_length_frames"":769,""candidate_sync_origin_frames"":0,""lag_frames"":29,""length_frames"":769,""level_linear_fs"":0.18,""polarity"":1,""search_bounds_reported_lag_frames"":[-64,64],""snr_db"":7.0,""sync_copy_transform"":""none""}",bfe0250c837ee263c2109e5cdb532a7971be80fb877e5425da17314ffbf80d7c,9f2197e9edc26c41c7c1f4058be189b11f128097eb239dc85dbc7553c345d172,db502cd565515b8207f4d6e366f37a375305903754fc92882af5f336caf44008,a7d50596e468061def23c85d4558cf57d84d71521096959766c475636bd05512,"{""duration"":""medium"",""energy"":""active"",""lag_position"":""positive"",""level"":""nominal"",""noise"":""low_snr"",""overlap"":""normal"",""polarity"":""normal"",""sync_origin"":""zero""}"
